Cleaned_Dialogue,Happiness,Contentment,Confidence,Neutral,Sadness,Anger,Fear,Surprise,Disgust,Love,Excitement,Anticipation,Nostalgia,Confusion,Frustration,Longing,Optimism,Positive/Negative,Song Recommendations
ross dont tell benji proposal go ladies room,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Negative,"Can't Hold Us (feat. Ray Dalton), Moves Like Jagger, There's a Good Reason These Tables Are Numbered Honey, You Just Haven't Thought of It Yet"
ok well would like dig painted desert,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,Negative,"Sandstorm, Enemy (with JID) - from the series Arcane League of Legends, Thunder"
see still several areas havent fully excavated,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Negative,"Calm Down, Strawberry Swing, Don't Panic"
break charlie,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,Negative,"Eye For an Eye, Rolling in the Deep, Hurricane"
well yes yes say didnt say,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,Negative,"Painkiller, Chop Suey!, Bad Liar"
kind inappropriate,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,Negative,"I Bet My Life, Middle Of A Breakup, Ain't No Rest for the Wicked"
im sorry havent seen long feelings rushing back im starting realize much missed im gonna need break,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,Negative,"Plastic Heart, November Rain, Sleepwalking"
hi sorry im late,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Negative,"Don't Panic, Kaer Morhen, Free Bird - Edit"
really hates hes gonna let keep box human hair got pick battles good news gladys,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Negative,"Young Dumb & Broke, A Million Dreams, Pumped Up Kicks"
wow whats bad news,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,Negative,"Bonfire, Trndsttr, Collar Full"
oh didnt know wanted,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,Negative,"Toxicity, Bleed, Chop Suey!"
huh,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,Negative,"Heaven and Hell - 2008 Remaster, Sugar, Toxicity"
well mean sure course already gave monica,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,Negative,"Toxicity, Chop Suey!, Build God, Then We'll Talk"
couldnt let,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Negative,"I Write Sins Not Tragedies, I Bet My Life, Psychosocial"
dont want,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,Negative,"Pull Me Under, The Hardest Part, Far Too Young to Die"
insist,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Negative,"Not Afraid, Hall of Fame (feat. will.i.am), Lose Yourself"
insist,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Negative,"New Rules, Royals, Astronaut In The Ocean"
bad news watched tape passed along bosses werent interested,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,Negative,"All We Know, B.Y.O.B., I Write Sins Not Tragedies"
look one thing cast lie,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,Negative,"Eye For an Eye, Rolling in the Deep, Hurricane"
im lying watched,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,Negative,"Lying Is the Most Fun a Girl Can Have Without Taking Her Clothes Off, One of the Drunks, Animals"
selection committee chosen three finalists today ultimate decision based upon answers give questions ask im gonna start dr li dr li claim field reliant linnaean taxonomic system propose correct problem,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Negative,"Smooth Criminal - 2012 Remaster, Dance Off (feat. Idris Elba & Anderson .Paak), The Ballad of Mona Lisa"
well believe answers lie osteological evidence plan begin,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Negative,"Can't Hold Us (feat. Ray Dalton), Moves Like Jagger, There's a Good Reason These Tables Are Numbered Honey, You Just Haven't Thought of It Yet"
dr biely proposal includes field work might take place,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,Negative,"Don't Panic, Into the Unknown - Panic! At The Disco Version, Take on Me"
care venture guess,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Negative,"Smooth Criminal - 2012 Remaster, Dance Off (feat. Idris Elba & Anderson .Paak), The Ballad of Mona Lisa"
three excavation two analysis,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Negative,"Whatever It Takes, Whatever It Takes, It's My Life"
im sorry looking baby baby,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,Negative,"Toxicity, Chop Suey!, Build God, Then We'll Talk"
wha wait wait wait minute none questions anything paleontology,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,Negative,"Toxicity, Bleed, Chop Suey!"
youre right apologize scratch last question spell boscodictiasaur,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Negative,"I Write Sins Not Tragedies, I Bet My Life, Psychosocial"
starts silent,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,Negative,"Painkiller, Chop Suey!, Bad Liar"
cant believe joey hate called liar,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,Negative,"B.Y.O.B., Duality, Symphony Of Destruction - Remastered 2012"
yes say hurt insulted tell somebody something,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,Negative,"Duality, Symphony Of Destruction - Remastered 2012, American Idiot"
ok whoahhey let stop right ok first lied right,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,Negative,"B.Y.O.B., Duality, Symphony Of Destruction - Remastered 2012"
sure didnt watch tape,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,Negative,"New Rules, Bad Liar, Chop Suey!"
really doesnt anything coming maybe place bedroom,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,Negative,"Toxicity, Build God, Then We'll Talk, Bad Liar"
ive come apologize think may let feelings charlie interfere interview process,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,Negative,"Build God, Then We'll Talk, Ain't No Rest for the Wicked, Middle Of A Breakup"
break charlie,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,Negative,"Build God, Then We'll Talk, Ain't No Rest for the Wicked, Middle Of A Breakup"
crazy,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,Negative,"Beautiful Alien (feat. AI AM) - Radio Edit, Immigrant Song - Remaster, Cotton Eye Joe"
ooh god,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,Negative,"goosebumps, Hail to the King, Beautiful Alien (feat. AI AM) - Radio Edit"
got monica sold,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Negative,"Bleed, Bad Liar, Toxicity"
well legend joey comes alive youre asleep,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,Negative,"goosebumps, Hail to the King, Beautiful Alien (feat. AI AM) - Radio Edit"
get legless witch,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,Negative,"B.Y.O.B., Duality, Symphony Of Destruction - Remastered 2012"
shes miine,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Negative,"Hold, Often, Sweet Child O' Mine"
thats point chandler point lied,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,Negative,"B.Y.O.B., Duality, Symphony Of Destruction - Remastered 2012"
oh god,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,Negative,"goosebumps, Hail to the King, Beautiful Alien (feat. AI AM) - Radio Edit"
lying wrong,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Negative,"New Rules, Royals, Astronaut In The Ocean"
exboyfriend insane,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,Negative,"All We Know, Don't Let The Light Go Out, Somebody That I Used To Know"
didnt want know exboyfriend still love,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,Negative,"Love The Way You Lie, Love The Way You Lie, The Hills"
really ethical ask someone grant review voice underdog,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,Negative,"Toxicity, Bleed, Chop Suey!"
dont believe lets go talk okay im telling didnt ask,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Negative,"New Rules, Royals, Astronaut In The Ocean"
oh im sorry ask one uhm spell mboscodictiosaur,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,Negative,"Painkiller, Chop Suey!, Bad Liar"
damnit,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,Negative,"B.Y.O.B., Duality, Symphony Of Destruction - Remastered 2012"
dr geller charlie,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,Negative,"I Feel It Coming, Feels (feat. Pharrell Williams, Katy Perry & Big Sean), Savage Love (Laxed - Siren Beat)"
want tell everything deal tried make crazy questions wally cox thats voice underdog,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,Negative,"Cowboys from Hell, Hail to the King, Viva Las Vengeance"
like tried tell interview ross grant based knowledge pretty useless trivia,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,Negative,"Toxicity, Build God, Then We'll Talk, Bad Liar"
maybe,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,Negative,"Painkiller, Chop Suey!, Bad Liar"
sweetie conversation starting make little uncomfortable,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,Negative,"Middle Of A Breakup, Ain't No Rest for the Wicked, I Bet My Life"
ha ha ha third time week man get old,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Negative,"Paradise, I Feel It Coming, Alors on danse - Radio Edit"
youre mean,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,Negative,"B.Y.O.B., Duality, Symphony Of Destruction - Remastered 2012"
oh dont baby,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,Negative,"B.Y.O.B., Duality, Symphony Of Destruction - Remastered 2012"
oh nothing it’s acting exercise i’m practising fakelaugh,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Negative,"Bleed, Bad Liar, Toxicity"
oh come man least let finish last one,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Negative,"Killing In The Name, New Rules, Middle Of A Breakup"
nono don’t hang one,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Negative,"Hey Look Ma, I Made It, Houdini (feat. Swarmz & Tion Wayne), Boss Bitch"
come it’s hypnosis tape woman work used twoweeks straight hasn’t smoked since,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Negative,"Can't Hold Us (feat. Ray Dalton), Moves Like Jagger, There's a Good Reason These Tables Are Numbered Honey, You Just Haven't Thought of It Yet"
pffhah,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,Negative,"All We Know, B.Y.O.B., I Write Sins Not Tragedies"
nothing it’s hypnosis beyond crap,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,Negative,"All We Know, B.Y.O.B., I Write Sins Not Tragedies"
right yknow forget hypnosis way quit smoking haveto dance naked field heather bath sweat six healthy young men,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,Negative,"Beautiful Alien (feat. AI AM) - Radio Edit, Immigrant Song - Remaster, Cotton Eye Joe"
father called thursday night,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,Negative,"Toothbrush, Really Love (feat. Craig David & Digital Farm Animals), Follow You"
oh yknow didn’t want cinnamon,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,Negative,"All We Know, B.Y.O.B., I Write Sins Not Tragedies"
oh god,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,Negative,"goosebumps, Hail to the King, Beautiful Alien (feat. AI AM) - Radio Edit"
oh well yknow would’ve called lost phone number andthen ah mom locked house couldn’t find triedto find pay phone ah receiver cut,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Negative,"Bleed, Bad Liar, Toxicity"
ah oh ah vandalism,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,Negative,"Heaven and Hell - 2008 Remaster, Sugar, Toxicity"
well got fight ‘cause ah said immature toget married,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,Negative,"Chop Suey!, Sugar, Toxicity"
yknow would’ve bet good money he’d first oneof us get married,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,Negative,"B.Y.O.B., All We Know, Duality"
yeah isn’t fantastic,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Negative,"Orinoco Flow, Snow (Hey Oh), Can't Feel My Face"
exactly it’ll illegal drink bachelor party,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,Negative,"New Rules, Royals, Astronaut In The Ocean"
always illegal joe,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,Negative,"All We Know, B.Y.O.B., I Write Sins Not Tragedies"
well um ah mrs knight’s ah mean alice sorry alice ialways ah home ec class,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,Negative,"Toxicity, Chop Suey!, Build God, Then We'll Talk"
doesn’t keep kids school,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,Negative,"Painkiller, Wait and Bleed, Royals"
yeah yknow wewe talked living together um want tohave kids right away,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Negative,"Orinoco Flow, Snow (Hey Oh), Can't Feel My Face"
yknow mean really realise there’s age differencebetween us,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,Negative,"Build God, Then We'll Talk, Ain't No Rest for the Wicked, Middle Of A Breakup"
oh good okay ‘cause acting like didn’t,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Negative,"A Million Dreams, Young Dumb & Broke, Pumped Up Kicks"
falling fast asleep deeper deeper deeper nowcompletely asleep don’t need smoke cigarettes don’t control youare strong confident woman need smoke strong confident woman,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Negative,"It's My Life, Whatever It Takes, Calm Down"
yknow realised last year i’ve goneout two guys richard julio gotta help gotta set yougotta get back game,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,Negative,"Sandstorm, Enemy (with JID) - from the series Arcane League of Legends, Thunder"
haven’t covered topic,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Negative,"Bleed, Bad Liar, Toxicity"
aww reason want go blond wigand big boobs fact serve food,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Negative,"Bleed, Bad Liar, Toxicity"
mean really think,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Negative,"Smooth Criminal - 2012 Remaster, Dance Off (feat. Idris Elba & Anderson .Paak), The Ballad of Mona Lisa"
hoho,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Negative,"Temperature, Levitating, Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]"
pheebs don’t tell soon he’s gonna married andthen you’re gonna hate,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,Negative,"Cirice, Sign of the Times, Middle Of A Breakup"
come guys nothing lose everything losedo want lose everything everything,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,Negative,"New Rules, Don't Threaten Me with a Good Time, Paranoid - 2012 - Remaster"
nah doesn’t anything,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,Negative,"All We Know, B.Y.O.B., I Write Sins Not Tragedies"
yknow forgot combination year ago justcarry around chap stick,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,Negative,"Calm Down, Young Dumb & Broke, Heaven and Hell - 2008 Remaster"
joke customer work crush gave 20000tip number check i’d call,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Negative,"Cake By The Ocean, We Are Young (feat. Janelle Monáe), Savage Love (Laxed - Siren Beat)"
guy invented moss 865 every office world uses thatprogram,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Negative,"Temperature, Levitating, Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]"
incredibly offensive,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Negative,"Bleed, Bad Liar, Toxicity"
we’re saying don’t rush anything,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,Negative,"Don't Panic, Into the Unknown - Panic! At The Disco Version, Take on Me"
don’t think know,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,Negative,"New Rules, Royals, Astronaut In The Ocean"
look point there’s lot women haven’teven sex yet,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,Negative,"Lying Is the Most Fun a Girl Can Have Without Taking Her Clothes Off, One of the Drunks, Animals"
okay isn’t sex better it’s one person youreally really care,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Negative,"Young Dumb & Broke, Hold, Yellow"
don’t anymore,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Negative,"Bleed, Bad Liar, Toxicity"
ah slept someone else,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,Negative,"Cirice, Sign of the Times, Heathens"
okay wait right make things better,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,Negative,"Toxicity, Chop Suey!, Build God, Then We'll Talk"
didn’t,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Negative,"Bleed, Bad Liar, Toxicity"
whwhat like,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,Negative,"Toxicity, Bleed, Chop Suey!"
don’t ask blew,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,Negative,"Middle Of A Breakup, Ain't No Rest for the Wicked, I Bet My Life"
don’t know maybe can’t mean maybe there’ssomething wrong,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,Negative,"Build God, Then We'll Talk, Ain't No Rest for the Wicked, Middle Of A Breakup"
oh god died,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,Negative,"Sign of the Times, Cirice, Blackwater Park"
absolutely okay first we’ll start little club soda andsalt doesn’t work go back to…,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Negative,"Royals, It's My Life, Whatever It Takes"
yknow forget it’s ruined,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,Negative,"I Bet My Life, Middle Of A Breakup, Ain't No Rest for the Wicked"
oh nono never say can’t get cutaround stain add little lace make stylish throw,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Negative,"It's My Life, Whatever It Takes, Calm Down"
instead maybe could marry brother frank,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,Negative,"New Rules, Royals, B.Y.O.B."
miss monica geller,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Negative,"Often, Titanium (feat. Sia), Immigrant Song - Remaster"
seriously supposed mean,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,Negative,"Toxicity, Build God, Then We'll Talk, Bad Liar"
well y’know never know much tip,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,Negative,"Toxicity, Chop Suey!, Build God, Then We'll Talk"
you’re supposed double tax double tax romania imean what’swhat’s deal trying buy wayyou get girls go,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,Negative,"Toxicity, Build God, Then We'll Talk, Bad Liar"
umm i’m still,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Negative,"New Rules, Royals, Astronaut In The Ocean"
come gotta admit relationship ah hitting newlevel ‘cause used like chef customer nowwe’re like thisthis couple fights,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,Negative,"Build God, Then We'll Talk, Ain't No Rest for the Wicked, Middle Of A Breakup"
okay umm you’re loon,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,Negative,"All We Know, B.Y.O.B., I Write Sins Not Tragedies"
don’t know,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Negative,"Bleed, Bad Liar, Toxicity"
‘cause don’t want encourage kind behaviour,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,Negative,"All We Know, B.Y.O.B., I Write Sins Not Tragedies"
one meal that’s i’m asking please go eatand don’t good time give ten grand call even,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Negative,"Orinoco Flow, Snow (Hey Oh), Can't Feel My Face"
okay whoa sorry like dark,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,Negative,"Heaven and Hell - 2008 Remaster, Sugar, Toxicity"
oh well probably worst one since i’ve alive,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,Negative,"All We Know, Middle Of A Breakup, Ain't No Rest for the Wicked"
umm alice ah ah called,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,Negative,"Build God, Then We'll Talk, Ain't No Rest for the Wicked, Middle Of A Breakup"
oh umm say,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Negative,"Bleed, Bad Liar, Toxicity"
uh really young yknow don’tsee could sudden young ‘cause i’m older whenwe first got together,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,Negative,"Nearly Witches (Ever Since We Met...), Chop Suey!, Bad Liar"
