Cleaned_Dialogue,Happiness,Contentment,Confidence,Neutral,Sadness,Anger,Fear,Surprise,Disgust,Love,Excitement,Anticipation,Nostalgia,Confusion,Frustration,Longing,Optimism,Positive/Negative
well told spend day clearing stuff mike could move,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Negative
oh right,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,Positive
oh well im might well help cleaning organizing happen label maker,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Negative
oh,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,Positive
uh chandler want,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,Negative
yeah really,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
dont like,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,Positive
well course whats like ill take minute know think youre giving easy honey think need fight,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Negative
really think,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,Positive
absolutely yes say im sorry mike cant live without,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,Negative
ok ill fight ok oh wait oh realized means dont get,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,Negative
damn,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,Negative
hey guys,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Positive
oh word casting yet,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,Positive
joe told youre right part,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,Positive
mean rach dont seem like professor youd buy kind ecrap,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,Negative
im sorry sounds like something im never gonna interested,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Negative
joe,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Positive
watch dont like dont pass bosses,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Positive
fine,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,Positive
work joe,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Positive
pass boss,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Negative
hes right part suggest bosses gonna think im idiot thats something learn,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,Negative
tell joey watched tape liked bosses didnt way youre good guy theyre bad guys,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Negative
cant believe im meet benjamin hobart ive always thought one people id invite fantasy dinner party think theres chance hell bring christie brinkley c3po,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,Negative
charlie god look absolutely stunning,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Positive
well good hair day,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
good see,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Positive
im ok,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
oh well likewise actually likewise ive never heard morning nice nice,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,Positive
ross dont tell benji proposal go ladies room,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Negative
tell,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
ok well would like dig painted desert,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,Negative
mm,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Positive
see still several areas havent fully excavated,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Negative
break charlie,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,Negative
say break charlie,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,Positive
well yes yes say didnt say,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,Negative
kind inappropriate,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,Negative
im sorry havent seen long feelings rushing back im starting realize much missed im gonna need break,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,Negative
say yes im serious say im joking,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Positive
joking,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
hi sorry im late,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Negative
hey go mike gonna let keep painting,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,Positive
really hates hes gonna let keep box human hair got pick battles good news gladys,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Negative
wow whats bad news,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,Negative
whos gladys,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,Positive
oh shes work art made know woman coming frame,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Positive
oh didnt know wanted,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,Negative
huh,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,Negative
well mean sure course already gave monica,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,Negative
know would give,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,Positive
couldnt let,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Negative
want,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,Positive
dont want,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,Negative
insist,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Negative
insist,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Negative
landed food,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,Positive
hey joe,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Positive
whats,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
bad news watched tape passed along bosses werent interested,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,Negative
look one thing cast lie,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,Negative
im lying watched,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,Negative
watched,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Positive
keep going pinocchio,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Positive
watch tape,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,Positive
selection committee chosen three finalists today ultimate decision based upon answers give questions ask im gonna start dr li dr li claim field reliant linnaean taxonomic system propose correct problem,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Negative
well believe answers lie osteological evidence plan begin,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Negative
dr biely proposal includes field work might take place,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,Negative
certainly well dr geller birthday,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Positive
care venture guess,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Negative
half dozen,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,Positive
see dr biely,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
three excavation two analysis,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Negative
certainly dr geller 1965 shirelles hit later covered popular british invasion band,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Positive
im sorry looking baby baby,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,Negative
wha wait wait wait minute none questions anything paleontology,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,Negative
youre right apologize scratch last question spell boscodictiasaur,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Negative
yeah made spell,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,Positive
starts silent,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,Negative
oh come,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,Positive
cant believe joey hate called liar,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,Negative
say,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,Positive
still,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,Positive
yes say hurt insulted tell somebody something,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,Negative
ok whoahhey let stop right ok first lied right,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,Negative
sure didnt watch tape,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,Negative
really,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Positive
really doesnt anything coming maybe place bedroom,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,Negative
ive come apologize think may let feelings charlie interfere interview process,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,Negative
anyway ive decided offer grant,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
well one small stipulation,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Positive
break charlie,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,Negative
hey got one right,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Positive
youre crazy,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,Positive
crazy romantic,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,Positive
crazy,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,Negative
ooh god,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,Negative
joey,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,Positive
got monica sold,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Negative
joey keeping,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,Positive
original buffay,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,Positive
alright fine keep long dont mind shes haunted,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,Positive
hey wey whoo,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,Positive
well legend joey comes alive youre asleep,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,Negative
get legless witch,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,Negative
hey sold joey,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
cant shes,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,Positive
shes,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,Positive
shes,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,Positive
shes mine,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Positive
shes miine,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Negative
want gladys,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,Positive
thats point chandler point lied,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,Negative
know youre right whats gonna take forgive,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,Positive
oh god,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,Negative
excellent,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Positive
say,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Positive
lying wrong,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Negative
im pretty little girl,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Positive
knew,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Positive
exboyfriend insane,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,Negative
get grant,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,Positive
didnt want know exboyfriend still love,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,Negative
yeah wouldnt give grant,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Positive
benji isnt love mean broke,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,Positive
really ethical ask someone grant review voice underdog,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,Negative
im sure joking ross,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Positive
dont believe lets go talk okay im telling didnt ask,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Negative
seriously,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,Positive
oh im sorry ask one uhm spell mboscodictiosaur,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,Negative
well like lake mbosco congo mbo,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,Positive
damnit,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,Negative
dr geller charlie,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,Negative
want tell everything deal tried make crazy questions wally cox thats voice underdog,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,Negative
like tried tell interview ross grant based knowledge pretty useless trivia,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,Negative
dont want look eyes tell truth,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,Positive
benji,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
alright true behaved horribly still love would,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,Positive
little late benji,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,Positive
cant believe,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,Positive
never broken think time mean ever still think,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,Positive
yes,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Positive
dont know say benji romantic,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,Positive
listen know may way bounds chance take back,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,Positive
maybe,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,Negative
sweetie conversation starting make little uncomfortable,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,Negative
love,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,Positive
okay thats seeing people,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,Positive
gladys,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,Positive
ha ha ha third time week man get old,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Negative
youre mean,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,Negative
oh dont baby,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,Negative
oh nothing it’s acting exercise i’m practising fakelaugh,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Negative
whatwhat’s funny,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,Positive
oh come man least let finish last one,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Negative
okay give drag,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Positive
okay,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
nono don’t hang one,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Negative
okay that’s like least fun game ever,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,Positive
come it’s hypnosis tape woman work used twoweeks straight hasn’t smoked since,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Negative
pffhah,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,Negative
nothing it’s hypnosis beyond crap,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,Negative
ross watched get hypnotised atlantic city,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Positive
hey guy hypnotise okay,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Positive
right yknow forget hypnosis way quit smoking haveto dance naked field heather bath sweat six healthy young men,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,Negative
father called thursday night,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,Negative
go,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
oh yknow didn’t want cinnamon,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,Negative
oh god,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,Negative
hi,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Positive
frank hi,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Positive
oh well yknow would’ve called lost phone number andthen ah mom locked house couldn’t find triedto find pay phone ah receiver cut,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Negative
happened,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,Positive
ah oh ah vandalism,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,Negative
also happened mom,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,Positive
well got fight ‘cause ah said immature toget married,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,Negative
getting married,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Positive
oh yeah,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Positive
wow,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Positive
little brother’s getting married,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Positive
oh knew you’d cool right ah hey youwant meet,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Positive
yeah yeah,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
yknow would’ve bet good money he’d first oneof us get married,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,Negative
yeah isn’t fantastic,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Negative
yeah ah pheebs don’t think he’s little young toget married,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Positive
he’s 18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
exactly it’ll illegal drink bachelor party,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,Negative
yeah oror get hooker,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,Positive
always illegal joe,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,Negative
yknow itit’s funny um frank told much yournot pictured,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Positive
yeah i’m big surprise,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Positive
um howhow guys meet,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,Positive
well um ah mrs knight’s ah mean alice sorry alice ialways ah home ec class,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,Negative
best student,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
yeah best teacher,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,Positive
doesn’t keep kids school,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,Negative
guys gonna married,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,Positive
yeah yknow wewe talked living together um want tohave kids right away,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Negative
oh god great,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Positive
wow kids frank sure you’re ready,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Positive
mean hard yknow mean yknow babies yknow whodoesn’t want babies right besides yknow never dad around ahnownow always ‘cause yknow it’ll right,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,Positive
yknow mean really realise there’s age differencebetween us,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,Negative
oh good okay ‘cause acting like didn’t,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Negative
oh comes love age matter,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,Positive
falling fast asleep deeper deeper deeper nowcompletely asleep don’t need smoke cigarettes don’t control youare strong confident woman need smoke strong confident woman,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Negative
yknow realised last year i’ve goneout two guys richard julio gotta help gotta set yougotta get back game,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,Negative
well shouldn’t problem mean work fashion alli meet eligible straight men,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Positive
yeah slice cheesecake andand date you’re given’‘em,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Positive
haven’t covered topic,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Negative
hmm come said you…,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,Positive
aww reason want go blond wigand big boobs fact serve food,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Negative
mean really think,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Negative
hoho,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Negative
pheebs age thing,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Positive
nono oh i’m fine age thing yknow startssticking it’s tongue little brother’s throat,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,Positive
pheebs seems enjoy,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Positive
well havehave told feel,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Positive
yes loud,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Positive
pheebs don’t tell soon he’s gonna married andthen you’re gonna hate,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,Negative
come guys nothing lose everything losedo want lose everything everything,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,Negative
we’re walking street turn say“hey let’s go hang totally nude nudes” remember andthen turn say “nah let’s hang place”well nice move dumb ass,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,Positive
think definitely go guy,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Positive
nah doesn’t anything,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,Negative
monica last saturday night happened,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Positive
right,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
hey,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
yknow forgot combination year ago justcarry around chap stick,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,Negative
uh yeah,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Positive
hey tapes working ya,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,Positive
yknow pretty good,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
yeah,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Positive
good haven’t smoked yet today feel great andandandconfident stunning blouse,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
thank,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
thanks,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
hey mon let’s give pete chance come funny seemsreally nice check thing adorable,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Positive
